id,batch,range,title,report_commit
D22,4,D21–D25,Translate known static orientation into the browser's presentation metadata,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D23,4,D21–D25,Select independent FLAC channels without decoding their samples,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D24,4,D21–D25,Give RLE subtitle bitmaps to a native PNG decoder without a raster intermediate,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D25,4,D21–D25,Cold APNG seeks using native PNG subframe views and disposal-aware plans,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D26,5,D26–D30,Explicit mono duplication and silent slots through Opus mapping,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D27,5,D26–D30,Configuration changes without an automatic player rebuild,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D28,5,D26–D30,Reset parsing and reject stale completions before retry,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D29,5,D26–D30,"Metadata-only cropping: valid coded output, wrong browser presentation",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D30,5,D26–D30,Trimming presentation must not delete decode prerequisites,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D31,6,D31–D35,Change packet grouping after startup rather than imposing one latency policy,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D32,6,D31–D35,Rewrap G.711 telephony audio rather than decoding it in application code,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D33,6,D31–D35,Can finite MP4 edit metadata express exact audio excerpts?,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D34,6,D31–D35,"Recover original JPEG bytes from JPEG-origin JPEG XL, then use browser JPEG decoding",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D35,6,D31–D35,Preserve exact edits by moving selection to the native audio scheduler,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D36,7,D36–D39,"Author a source-indexed edited MP4, then leave playback to the browser",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D37,7,D36–D39,Refer to repeated coded pictures twice without storing them twice,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D38,7,D36–D39,Admit a useful seek GOP without waiting for earlier GOPs,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D39,7,D36–D39,"Reuse AVIF coded images as timed AV1 samples, with a presentation gate",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D40,8,D40–D43,Select whole Opus elementary streams rather than reconstructing every channel,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D41,8,D40–D43,"Restore stripped headers after unlacing, not once per block",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D42,8,D40–D43,"Chained audio needs independent configuration, trimming, and decoder state",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D43,8,D40–D43,Bounded native resampling needs more than a nominal rate ratio,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D44,9,D44–D47,Try an unchanged native destination before projecting sample descriptions,015004be024fc04cb0234f523290b4c377870257
D45,9,D44–D47,A recovery point is not necessarily a native cold-start point,015004be024fc04cb0234f523290b4c377870257
D46,9,D44–D47,Treat codec/container color conflicts as an authority problem,015004be024fc04cb0234f523290b4c377870257
D47,9,D44–D47,Bounded Vorbis views across short/long blocks,015004be024fc04cb0234f523290b4c377870257
D48,10,D48–D51,Byte availability is not the complete MP3 output state,efd9e1537666b3120936ed24a34431645506e953
D49,10,D48–D51,"Crop the native presentation, not the encoded image",efd9e1537666b3120936ed24a34431645506e953
D50,10,D48–D51,Reduce an epoch while timestamps are still integers,efd9e1537666b3120936ed24a34431645506e953
D51,10,D48–D51,Express a requested crossfade in the browser audio graph,efd9e1537666b3120936ed24a34431645506e953
D52,11,D52–D55,Preserve explicit silent time with constant FLAC frames,0060c26c23290d20041f8433452e2eb088b31f59
D53,11,D52–D55,A sub-millisecond eviction error can discard a full extra GOP,0060c26c23290d20041f8433452e2eb088b31f59
D54,11,D52–D55,Project source subtitles onto an edited native timeline,0060c26c23290d20041f8433452e2eb088b31f59
D55,11,D52–D55,Render bounded finite-filter requests with stable native channel state,0060c26c23290d20041f8433452e2eb088b31f59
D56,12,D56–D58,Preserve an explicit cadence with coded picture recalls,0060c26c23290d20041f8433452e2eb088b31f59
D57,12,D56–D58,Sparse audio can be scheduled without expanding its held spans,0060c26c23290d20041f8433452e2eb088b31f59
D58,12,D56–D58,Give a native IIR filter only enough history for a declared error budget,0060c26c23290d20041f8433452e2eb088b31f59
D59,13,D59–D61,Native JPEG decoding for restricted TIFF pages and regions,6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D60,13,D59–D61,Destination-specific recovery of mislabeled random-access samples,6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D61,13,D59–D61,One bounded copy can make native audio looping correct,6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D62,14,D62–D64,"Retain PGS object data, not stale rendered subtitles",6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D63,14,D62–D64,Native clipping of lossless audio at individual sample boundaries,6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D64,14,D62–D64,Join independent FLAC selections without creating a new encoded bridge,6feb9b337889bfbaab8c5ac33bbddd0ca5d94f36
D65,15,D65–D67,Select an Ogg logical stream by retaining its original pages,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D66,15,D65–D67,Separate source-local track numbering from playback-lane numbering,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D67,15,D65–D67,Native image decoding with a source-derived animation seek plan,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D68,16,D68–D70,Preserve PCM values while changing only the incompatible representation,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D69,16,D68–D70,"Translate the packet table, not just the packet bytes",ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D70,16,D68–D70,Give native text the syllable timeline rather than repainting it in JavaScript,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D71,17,D71–D73,Compressed-only reverse views of independently decodable video,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D72,17,D71–D73,Preserve sparse-video durations instead of guessing a constant frame rate,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
D73,17,D71–D73,Resolve geometry at the boundary that actually presents it,ee7fe7774270fe34fe617cb0dd5adb9d9e9f689e
