initial_rank	priority_band	legacy_id	identity_branch	key	title	family	target_relevance	impact	screen_effort	qualification_burden	local_screen_state	definition_status	primary_metric	default_next_action	minimum_probe	negative_control	reopen_condition
12	1	R295	proposal	R295.preserve-hardware-overlay-eligibility-through-subtitle-and-ui-composition	Preserve hardware-overlay eligibility through subtitle and UI composition	gpu	core-playback	4	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Prerequisite-only first: Actual required API/format for any GPU claim; CPU algebra is a separate component observation, not browser qualification. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
13	1	R335	proposal	R335.recover-the-gpu-presenter-without-reopening-healthy-decoders	Recover the GPU presenter without reopening healthy decoders	lifecycle	core-playback	4	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	Prerequisite-only first: Relevant existing runtime/owner only. Do not require every other backend to pass before this independent screen. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
14	1	R353	proposal	R353.let-browser-managed-streaming-windows-control-remux-production	Let browser-managed streaming windows control remux production	lifecycle	core-playback	4	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	Prerequisite-only first: Relevant existing runtime/owner only. Do not require every other backend to pass before this independent screen. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
15	1	R57	proposal	R057.probe-a-real-six-channel-native-flac-destination	Probe a real six-channel Native FLAC destination	route	conditional	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
16	1	R88	proposal	R088.native-hls-playlist-views-over-compatible-existing-media	Native HLS playlist views over compatible existing media	route	conditional	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
17	1	R183	report-defined	R183.native-color-with-separately-decoded-transparency	native color with separately decoded transparency	route	conditional	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
18	1	R114	proposal	R114.use-webrtc-native-media-reception-as-a-packet-copy-destination	Use WebRTC native media reception as a packet-copy destination	route	conditional	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
19	1	R176	report-defined	R176.jspi-backed-synchronous-wasm-i-o	JSPI-backed synchronous Wasm I/O	route	conditional	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
20	1	R06	proposal	R006.offer-a-non-pthread-remux-path-without-isolation	Offer a non-pthread remux path without isolation	route	conditional	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
21	1	R24	proposal	R024.compare-raw-yuv-videoframe-presentation-with-existing-software-output	Compare raw-YUV VideoFrame presentation with existing Software output	route	conditional	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
22	1	R86	report-defined	R086.native-video-with-an-independent-generated-pcm-clock	Native video with an independent generated-PCM clock	route	conditional	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
23	1	R97	proposal	R097.mux-color-and-alpha-into-native-transparent-webm	Mux color and alpha into native transparent WebM	route	conditional	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
24	1	R160	proposal	R160.turn-a-whole-file-audio-decoder-into-a-bounded-streaming-component	Turn a whole-file audio decoder into a bounded streaming component	route	conditional	4	E0	Q3	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
25	1	R101	proposal	R101.keep-decoded-video-on-the-native-overlay-display-path	Keep decoded video on the native overlay/display path	gpu	conditional	4	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Prerequisite-only first: Actual required API/format for any GPU claim; CPU algebra is a separate component observation, not browser qualification. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
26	1	R99	proposal	R099.expose-an-hdr10-compatible-dolby-vision-base-without-video-re-encoding	Expose an HDR10-compatible Dolby Vision base without video re-encoding	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
27	1	R138	proposal	R138.decode-the-he-aac-core-natively-reconstruct-the-extension-separately	Decode the HE-AAC core natively, reconstruct the extension separately	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
28	1	R159	proposal	R159.remux-encrypted-media-without-decrypting-its-samples	Remux encrypted media without decrypting its samples	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
29	1	R184	report-defined	R184.browser-hevc-base-separate-dolby-vision-reshaping	browser HEVC base + separate Dolby Vision reshaping	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
30	1	R208	report-defined	R208.make-cancellation-follow-media-dependency-boundaries	Make cancellation follow media dependency boundaries	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
31	1	R307	proposal	R307.extract-an-mvc-base-view-for-explicitly-requested-2d-playback	Extract an MVC base view for explicitly requested 2D playback	route	specialty-or-prepared	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
32	1	R82	report-defined	R082.browser-side-video-normalization	Browser-side video normalization	route	specialty-or-prepared	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
33	1	R173	report-defined	R173.preserve-flic-indices-plus-palette	preserve FLIC indices plus palette	route	specialty-or-prepared	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
34	1	R194	report-defined	R194.browser-zlib-zmbv-reconstruction	browser zlib + ZMBV reconstruction	route	specialty-or-prepared	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
